Titel,Kategorie,Tags,Level,Output,Updated,GitHubLink,Pfad,Kurzbeschreibung
Ai Automation Leitfaden,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/AI Automation Guide.md,de/ai4_unk/AI Automation Guide.md,"Hilft dabei, Ai Automation Leitfaden zu erstellen."
Ai Innovation Center Development,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/AI Innovation Center Development.md,de/ai4_unk/AI Innovation Center Development.md,"Hilft dabei, Ai Innovation Center Development zu erstellen."
Bird And Insect Identification Kurs,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Bird And Insect Identification Course.md,de/ai4_unk/Bird And Insect Identification Course.md,"Hilft dabei, Bird And Insect Identification Kurs zu erstellen."
Book Finding Challenges,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Book Finding Challenges.md,de/ai4_unk/Book Finding Challenges.md,"Hilft dabei, Book Finding Challenges zu erstellen."
Brandingguide,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/BrandingGuide.md,de/ai4_unk/BrandingGuide.md,"Hilft dabei, Brandingguide zu erstellen."
Bullyingstatistics,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/BullyingStatistics.md,de/ai4_unk/BullyingStatistics.md,"Hilft dabei, Bullyingstatistics zu erstellen."
Canvaintegration,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/CanvaIntegration.md,de/ai4_unk/CanvaIntegration.md,"Hilft dabei, Canvaintegration zu erstellen."
Connect Chapters Cohesively,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Connect Chapters Cohesively.md,de/ai4_unk/Connect Chapters Cohesively.md,"Hilft dabei, Connect Chapters Cohesively zu erstellen."
Erstelle Book Idea,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Create Book Idea.md,de/ai4_unk/Create Book Idea.md,"Hilft dabei, Erstelle Book Idea zu erstellen."
Erstelle Financial Literacy Kurs,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Create Financial Literacy Course.md,de/ai4_unk/Create Financial Literacy Course.md,"Hilft dabei, Erstelle Financial Literacy Kurs zu erstellen."
Erstelle Führen Magnet,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Create Lead Magnet.md,de/ai4_unk/Create Lead Magnet.md,"Hilft dabei, Erstelle Führen Magnet zu erstellen."
Erstelle Präsentation Deck,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Create Presentation Deck.md,de/ai4_unk/Create Presentation Deck.md,"Hilft dabei, Erstelle Präsentation Deck zu erstellen."
Erstelle Travel Guidebook,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Create Travel Guidebook.md,de/ai4_unk/Create Travel Guidebook.md,"Hilft dabei, Erstelle Travel Guidebook zu erstellen."
Erstellegrantproposal,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/CreateGrantProposal.md,de/ai4_unk/CreateGrantProposal.md,"Hilft dabei, Erstellegrantproposal zu erstellen."
Documentorganizationapp,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/DocumentOrganizationApp.md,de/ai4_unk/DocumentOrganizationApp.md,"Hilft dabei, Documentorganizationapp zu erstellen."
Employee Satisfaction Survey,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Employee Satisfaction Survey.md,de/ai4_unk/Employee Satisfaction Survey.md,"Hilft dabei, Employee Satisfaction Survey zu erstellen."
Executiveassistantefficiencyguide,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ExecutiveAssistantEfficiencyGuide.md,de/ai4_unk/ExecutiveAssistantEfficiencyGuide.md,"Hilft dabei, Executiveassistantefficiencyguide zu erstellen."
Foundationalnutritionfitnesscourse,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/FoundationalNutritionFitnessCourse.md,de/ai4_unk/FoundationalNutritionFitnessCourse.md,"Hilft dabei, Foundationalnutritionfitnesscourse zu erstellen."
Generationaldifferencesmasterclass,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/GenerationalDifferencesMasterclass.md,de/ai4_unk/GenerationalDifferencesMasterclass.md,"Hilft dabei, Generationaldifferencesmasterclass zu erstellen."
Halloweenbookideas,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/HalloweenBookIdeas.md,de/ai4_unk/HalloweenBookIdeas.md,"Hilft dabei, Halloweenbookideas zu erstellen."
Home Improvement Promotion,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Home Improvement Promotion.md,de/ai4_unk/Home Improvement Promotion.md,"Hilft dabei, Home Improvement Promotion zu erstellen."
Internal Audit Program Vorlage,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Internal Audit Program Template.md,de/ai4_unk/Internal Audit Program Template.md,"Hilft dabei, Internal Audit Program Vorlage zu erstellen."
Luxury Hospitality Training,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Luxury Hospitality Training.md,de/ai4_unk/Luxury Hospitality Training.md,"Hilft dabei, Luxury Hospitality Training zu erstellen."
Marcus Garvey Influence On Reggae,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Marcus Garvey Influence on Reggae.md,de/ai4_unk/Marcus Garvey Influence on Reggae.md,"Hilft dabei, Marcus Garvey Influence On Reggae zu erstellen."
Nutrition And Fitness Kurs,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Nutrition And Fitness Course.md,de/ai4_unk/Nutrition And Fitness Course.md,"Hilft dabei, Nutrition And Fitness Kurs zu erstellen."
Präsentation Skizziere,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Presentation Outline.md,de/ai4_unk/Presentation Outline.md,"Hilft dabei, Präsentation Skizziere zu erstellen."
Reviewictpolicies,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ReviewIctPolicies.md,de/ai4_unk/ReviewIctPolicies.md,"Hilft dabei, Reviewictpolicies zu erstellen."
Rise With Sap Überblick,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Rise With SAP Overview.md,de/ai4_unk/Rise With SAP Overview.md,"Hilft dabei, Rise With Sap Überblick zu erstellen."
Scholarship Personal Statement,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Scholarship Personal Statement.md,de/ai4_unk/Scholarship Personal Statement.md,"Hilft dabei, Scholarship Personal Statement zu erstellen."
Self Improvement Strategien,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Self Improvement Strategies.md,de/ai4_unk/Self Improvement Strategies.md,"Hilft dabei, Self Improvement Strategien zu erstellen."
Setting Up Tiktok Shop,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Setting Up TikTok Shop.md,de/ai4_unk/Setting Up TikTok Shop.md,"Hilft dabei, Setting Up Tiktok Shop zu erstellen."
Stock And Options Trading Leitfaden,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/Stock And Options Trading Guide.md,de/ai4_unk/Stock And Options Trading Guide.md,"Hilft dabei, Stock And Options Trading Leitfaden zu erstellen."
Whatsapp Patient Response,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/WhatsApp Patient Response.md,de/ai4_unk/WhatsApp Patient Response.md,"Hilft dabei, Whatsapp Patient Response zu erstellen."
Achieving Banking Ziels,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/achieving_banking_goals.md,de/ai4_unk/achieving_banking_goals.md,"Hilft dabei, Achieving Banking Ziels zu erstellen."
Achieving Spotify Success Playbook,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/achieving_spotify_success_playbook.md,de/ai4_unk/achieving_spotify_success_playbook.md,"Hilft dabei, Achieving Spotify Success Playbook zu erstellen."
Adhd Accountability Buddy,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/adhd_accountability_buddy.md,de/ai4_unk/adhd_accountability_buddy.md,"Hilft dabei, Adhd Accountability Buddy zu erstellen."
Adhd And Autism Management Leitfaden,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/adhd_and_autism_management_guide.md,de/ai4_unk/adhd_and_autism_management_guide.md,"Hilft dabei, Adhd And Autism Management Leitfaden zu erstellen."
Adhd Characters Dialogue,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/adhd_characters_dialogue.md,de/ai4_unk/adhd_characters_dialogue.md,"Hilft dabei, Adhd Characters Dialogue zu erstellen."
Adjusting To Night Shift,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/adjusting_to_night_shift.md,de/ai4_unk/adjusting_to_night_shift.md,"Hilft dabei, Adjusting To Night Shift zu erstellen."
African Folk Tale Creation,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/african_folk_tale_creation.md,de/ai4_unk/african_folk_tale_creation.md,"Hilft dabei, African Folk Tale Creation zu erstellen."
IDENTITY and PURPOSE,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai.md,de/ai4_unk/ai.md,"Hilft dabei, IDENTITY and PURPOSE zu erstellen."
Ai Automation Service Desk,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_automation_service_desk.md,de/ai4_unk/ai_automation_service_desk.md,"Hilft dabei, Ai Automation Service Desk zu erstellen."
Ai Editing Esl Courses,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_editing_esl_courses.md,de/ai4_unk/ai_editing_esl_courses.md,"Hilft dabei, Ai Editing Esl Courses zu erstellen."
Ai In Manufacturing Research Brief,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_in_manufacturing_research_brief.md,de/ai4_unk/ai_in_manufacturing_research_brief.md,"Hilft dabei, Ai In Manufacturing Research Brief zu erstellen."
Ai Outplacement Service Proposal,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_outplacement_service_proposal.md,de/ai4_unk/ai_outplacement_service_proposal.md,"Hilft dabei, Ai Outplacement Service Proposal zu erstellen."
Ai Powered Consumer Insights,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_powered_consumer_insights.md,de/ai4_unk/ai_powered_consumer_insights.md,"Hilft dabei, Ai Powered Consumer Insights zu erstellen."
Ai Projekt Management Leitfaden,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_project_management_guide.md,de/ai4_unk/ai_project_management_guide.md,"Hilft dabei, Ai Projekt Management Leitfaden zu erstellen."
Ai Skills Enhancement,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_skills_enhancement.md,de/ai4_unk/ai_skills_enhancement.md,"Hilft dabei, Ai Skills Enhancement zu erstellen."
Ai Solution Leitfaden,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_solution_guide.md,de/ai4_unk/ai_solution_guide.md,"Hilft dabei, Ai Solution Leitfaden zu erstellen."
Ai Solutions For Executive Assistants,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_solutions_for_executive_assistants.md,de/ai4_unk/ai_solutions_for_executive_assistants.md,"Hilft dabei, Ai Solutions For Executive Assistants zu erstellen."
Ai Tools For Neurodivergent Individuals,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/ai_tools_for_neurodivergent_individuals.md,de/ai4_unk/ai_tools_for_neurodivergent_individuals.md,"Hilft dabei, Ai Tools For Neurodivergent Individuals zu erstellen."
Alibaba Supplier Engagement Leitfaden,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/alibaba_supplier_engagement_guide.md,de/ai4_unk/alibaba_supplier_engagement_guide.md,"Hilft dabei, Alibaba Supplier Engagement Leitfaden zu erstellen."
Aligning Learning Outcomes Process,AI 4 UNK,[],Basic,Text,2025-12-23,https://github.com/janafattah/prompts/blob/main/de/ai4_unk/aligning_learning_outcomes_process.md,de/ai4_unk/aligning_learning_outcomes_process.md,"Hilft dabei, Aligning Learning Outcomes Process zu erstellen."
